ccode,country_name,ctrycd,kaopen,ka_open
ERI,Eritrea,643,-1.2185401916503906,0.16496478021144867
ESP,Spain,184,1.080387916829851,0.7053978575600518
EST,Estonia,939,2.0780613819758096,0.9399313926696777
ETH,Ethiopia,644,-1.3744818634457059,0.12830594016446006
FIN,Finland,172,1.907712287373013,0.8998856478267245
FJI,Fiji,819,-0.7429170343610976,0.2767744908730189
FRA,France,132,1.6482182261016634,0.838883658250173
FSM,"Micronesia, Fed. Sts.",868,1.8225377400716145,0.8798627853393555
GAB,Gabon,646,-0.505105455716451,0.332679346203804
GBR,United Kingdom,112,2.333585023880005,1
GEO,Georgia,915,0.4968620290358861,0.5682223240534464
GHA,Ghana,652,-1.3705827991167705,0.12922253376907772
GIN,Guinea,656,-1.2185401916503906,0.16496478021144867
GMB,"Gambia, The",648,1.3724434359206095,0.7740543948279487
GNB,Guinea-Bissau,654,-1.4452489879396226,0.11166997129718463
GNQ,Equatorial Guinea,642,-1.0996344023280673,0.19291720787684122
GRC,Greece,174,-0.17111629413233864,0.41119367215368485
GRD,Grenada,328,-1.0957353313763936,0.19383380313714346
GTM,Guatemala,258,0.6469976736439599,0.6035162905852
GUY,Guyana,336,-0.24518808391359118,0.39378083911206985
HKG,"Hong Kong, China",532,2.333585023880005,1
HND,Honduras,268,-0.5754492630561193,0.31614288687705994
HRV,Croatia,960,-0.1483880877494812,0.4165366291999817
HTI,Haiti,263,0.0412755012512207,0.4611228373315599
HUN,Hungary,944,-1.0957353313763936,0.19383380313714346
IDN,Indonesia,536,2.085265086756812,0.9416248401006063
IND,India,534,-1.2185401916503906,0.16496478021144867
IRL,Ireland,178,1.364303073949284,0.7721407612164816
IRN,"Iran, Islamic Rep.",429,-1.920277714729309,0
IRQ,Iraq,433,-1.2185401916503906,0.16496478021144867
ISL,Iceland,176,0.2828864124086168,0.5179208483960893
ISR,Israel,436,-0.8334313035011292,0.2554963545666801
ITA,Italy,136,1.6482182261016634,0.838883658250173
JAM,Jamaica,343,0.245246765928136,0.5090724925200144
JOR,Jordan,439,-0.36028521694242954,0.36672375433974796
JPN,Japan,158,2.2200189431508384,0.9733028411865234
KAZ,Kazakhstan,916,-1.2185401916503906,0.16496478021144867
KEN,Kenya,664,-0.7722545199924045,0.2698778278297848
KGZ,Kyrgyz Republic,917,1.5670140981674194,0.8197941780090332
KHM,Cambodia,522,-1.4773053079843521,0.10413415729999542
KIR,Kiribati,826,2.1632359292772083,0.9599542617797852
KNA,St. Kitts and Nevis,361,-0.505105455716451,0.332679346203804
KOR,"Korea, Rep.",542,-0.505105455716451,0.332679346203804
KWT,Kuwait,443,2.1632359292772083,0.9599542617797852
LAO,Lao PDR,544,-1.4076186882125006,0.12051611973179711
LBN,Lebanon,446,2.2484104765786066,0.9799771308898926
LBR,Liberia,668,-0.13398067818747628,0.41992352737320793
LBY,Libya,672,-1.2185401916503906,0.16496478021144867
LCA,St. Lucia,362,-0.505105455716451,0.332679346203804
LKA,Sri Lanka,524,0.19380347441054052,0.49697919024361503
LSO,Lesotho,666,-0.9729305108388265,0.22270281612873077
LTU,Lithuania,946,2.24841046333313,0.9799771308898926
LVA,Latvia,941,1.9928868214289348,0.9199085235595703
MAR,Morocco,686,-0.8618228236834208,0.24882206320762634
MDA,Moldova,921,-0.9630165100097656,0.22503340244293213
MDG,Madagascar,674,-0.9807286130057441,0.2208696355422338
MDV,Maldives,556,1.5306817690531414,0.8112531503041586
MEX,Mexico,273,0.5765443642934164,0.5869540969530741
MHL,Marshall Islands,867,1.4658203919728596,0.7960055073102316
MKD,"Macedonia, FYR",962,-1.2185401916503906,0.16496478021144867
MLI,Mali,678,-0.505105455716451,0.332679346203804
MLT,Malta,181,-1.05869945552614,0.2025402138630549
MMR,Myanmar,518,-1.4524526993433635,0.10997652014096577
MNG,Mongolia,948,0.4873400926589966,0.5659839175641537
MOZ,Mozambique,688,-1.4524526993433635,0.10997652014096577
MRT,Mauritania,682,-1.177605238225725,0.17458778785334694
MUS,Mauritius,684,-0.06712193455961016,0.43564071423477596
MWI,Malawi,676,-1.0996344023280673,0.19291720787684122
MYS,Malaysia,548,1.360332664516237,0.7712073922157288
NAM,Namibia,728,-1.3588876962661742,0.13197182416915892
NER,Niger,692,-0.3915393799543381,0.3593765099843343
NGA,Nigeria,694,-1.7855238517125447,0.031677999844153724
NIC,Nicaragua,278,0.06669527292251587,0.46709852251741624
NLD,Netherlands,138,2.333585023880005,1
NOR,Norway,142,0.9384303424093459,0.6720264090432061
NPL,Nepal,558,-1.0996344023280673,0.19291720787684122
NZL,New Zealand,196,2.333585023880005,1
OMN,Oman,449,1.97686767578125,0.9161427219708761
PAK,Pakistan,564,-1.2965110275480483,0.14663536018795437
PAN,Panama,283,2.333585023880005,1
PER,Peru,293,0.9214745097690158,0.6680404196182886
PHL,Philippines,566,-0.16291389510863358,0.41312190228038365
