oecd,country,pind,pindo,ctrycd,col_uk,t_indep,col_uka,col_espa,col_otha,legor_uk,legor_so,legor_fr,legor_ge,legor_sc,prot80,catho80,confu,avelf,govef,graft,logyl,loga,yrsopen,gadp,engfrac,eurfrac,frankrom,latitude,gastil,cgexp,cgrev,ssw,rgdph,trade,prop1564,prop65,federal,eduger,spropn,yearele,yearreg,seats,maj,pres,lyp,semi,majpar,majpres,propres,dem_age,lat01,age,polityIV,spl,cpi9500,du_60ctry,magn,sdm,oecd.x,mining_gdp,gini_8090,con2150,con5180,con81,list,maj_bad,maj_gin,maj_old,pres_bad,pres_gin,pres_old,propar,lpop,continent
0,India,1,1,534,1,52,0.7919999957084656,0,0,1,0,0,0,0,1.100000023841858,1.2999999523162842,0,0.7421975135803223,5.527493476867676,5.6116814613342285,8.021490097045898,7.505390167236328,0.02199999988079071,0.5910000205039978,0,0,1.190999984741211,25.27400016784668,3.3333332538604736,15.789568901062012,12.764803886413574,NA,1431.4984130859375,21.883737564086914,59.862003326416016,4.590618133544922,1,70.92857360839844,0,1950,1950,520.33331298828125,1,0,7.266477108001709,0,1,0,0,1950,0.280822217464447,0.25,8.44444465637207,-5.91735315322876,7.206665992736816,1,1,1,0,2.110830545425415,32,1,0,0,0,3.3333332538604736,32,0.25,0,0,0,0,20.632447984483505,asiae
1,Ireland,0,1,178,1,78,0.6880000233650208,0,0,1,0,0,0,0,1.100000023841858,95.30000305175781,0,0.09035713970661163,2.277806520462036,1.8654158115386963,9.925569534301758,8.483460426330566,0.6439999938011169,0.8889999985694885,0.7419999837875366,0.7419999837875366,3.5220000743865967,54.611000061035156,1.1111111640930176,38.093544006347656,34.7853889465332,10.53897476196289,11390.4892578125,128.91702270507812,63.484378814697266,11.68449592590332,0,107.18571472167969,0,1937,1937,166,0,0,9.340534210205078,0,0,0,0,1921,0.6067888736724854,0.39500001072883606,10,-1.6342469453811646,1.9333339929580688,1,0.2469879388809204,0.24698799848556519,1,0.7119121551513672,35,1,0,0,166,0,0,0,0,0,0,1,15.092906422085232,other
0,Israel,0,0,436,1,51,0.7960000038146973,0,0.7960000038146973,1,0,0,0,0,0.20000000298023224,1,0,0.3270557224750519,3.629855155944824,2.4466240406036377,10.058879852294922,8.62516975402832,0.22200000286102295,0.7559999823570251,0,0,3.992000102996826,32.08399963378906,2,46.31829071044922,38.879032135009766,11.15426254272461,10428.7412109375,77.46720123291016,60.28881072998047,10.207618713378906,0,92.94999694824219,0,1948,1948,120,0,0,9.252321243286133,0,0,0,0,1948,0.3564888834953308,0.25999999046325684,9,-3.5464670658111572,2.7639999389648438,1,0.008333325386047363,0.008333300240337849,0,19.712783813476562,37,1,0,0,120,0,0,0,0,0,0,1,15.495666609870064,other
1,Italy,0.41887131333351135,0.8633157014846802,136,0,250,0,0,0,0,0,1,0,0,0.4000000059604645,83.19999694824219,0,0.03886815533041954,3.454261302947998,3.39534330368042,10.293919563293457,9.015419960021973,0.800000011920929,0.8149999976158142,0,0.006000000052154064,2.63700008392334,45.415000915527344,1.4444444179534912,48.803199768066406,41.1976203918457,18.5528564453125,12929.416015625,44.32747268676758,68.7469253540039,16.053199768066406,0,93.82857513427734,0.1335938274860382,1972.22216796875,1945,630,0,0,9.467260360717773,0,0,0,0,1945,0.5046111345291138,0.2750000059604645,10,-8.053450584411621,5.77666711807251,1,0.4643738865852356,0.15648870170116425,1,0.44520190358161926,32.5,1,0,0,366.1111145019531,0,0,0,0,0,0,1,17.860872480604385,other
0,Jamaica,1,1,343,1,37,0.8519999980926514,0,0,1,0,0,0,0,55.5,9.600000381469727,0,0.012500000186264515,5.968402862548828,5.232411861419678,8.432840347290039,7.367300033569336,0.421999990940094,0.5440000295639038,0.9399999976158142,0.9399999976158142,3.0999999046325684,18.05500030517578,2.277777671813965,NA,NA,NA,2426.28271484375,122.17720794677734,60.088966369628906,6.717472553253174,0,82.350006103515625,0.5,1962,1962,60,1,0,7.7941155433654785,0,1,0,0,1959,0.20061111450195312,0.20499999821186066,9.333333015441895,NA,6.199999809265137,0,1,1,0,6.919717788696289,41.790000915527344,0,1,0,0,2.277777671813965,41.790000915527344,0.20499999821186066,0,0,0,0,NA,laam
1,Japan,0.8666666746139526,0.8666666746139526,158,0,250,0,0,0,0,0,0,1,0,0.8999999761581421,0.6000000238418579,1,0.009880277328193188,3.32202410697937,3.552849769592285,9.943059921264648,8.408570289611816,0.7329999804496765,0.9319999814033508,0,0,1.6990000009536743,35.71200180053711,1.5555555820465088,20.509017944335938,19.838973999023438,8.291452407836914,15255.62890625,18.756059646606445,69.37799835205078,14.007708549499512,0,99.8499984741211,1,1975.3333740234375,1952,508,1,0,9.63270378112793,0,0.3333333432674408,0,0,1868,0.3968000113964081,0.6600000262260437,10,-0.2776908874511719,3.576667070388794,1,0.3753020763397217,0.04294389858841896,1,0.22720856964588165,34.20000076293945,0,1,0,67.73332977294922,1.5555555820465088,34.20000076293945,0.6600000262260437,0,0,0,0,18.643605338202583,other
0,Latvia,0,0,941,0,8,0,0,0.9679999947547913,0,1,0,0,0,14.100000381469727,18.200000762939453,0,0.613722026348114,4.864724159240723,5.5271501541137695,NA,NA,NA,NA,NA,NA,NA,NA,2.25,31.390146255493164,29.478628158569336,12.922685623168945,2936.435791015625,106.15135955810547,66.41886901855469,12.996596336364746,0,88.05714416503906,0,1991,1991,133.6666717529297,0,0,7.984951972961426,0,0,0,0,1991,NA,0.04500000178813934,8,-1.6647800207138062,6.8333330154418945,0,0.049950242042541504,0.05000000074505806,0,0.15810978412628174,NA,0,0,1,133.6666717529297,0,NA,0,0,NA,0,1,NA,other
1,Luxembourg,0,1,137,0,160,0,0,0.36000001430511475,0,0,1,0,0,1.2000000476837158,93,0,0.21666666865348816,1.65268874168396,1.6574900150299072,10.461420059204102,8.919989585876465,0.800000011920929,1,0,0,5.638999938964844,49.779998779296875,1,40.176353454589844,45.45094680786133,21.32377815246582,18801.708984375,188.9888153076172,68.04093933105469,14.23657512664795,0,88.87999725341797,0,1918,1879,60,0,0,9.841703414916992,0,0,0,0,1879,0.5531110763549805,0.6050000190734863,10,1.0126429796218872,1.3224999904632568,1,0.06666666269302368,0.06666669994592667,1,0.140722393989563,27,0,0,0,60,0,0,0,0,0,0,1,12.90866724650065,other
0,Malawi,1,1,676,1,35,0.8600000143051147,0,0,1,0,0,0,0,31.5,27.600000381469727,0,0.6223999857902527,6.2496795654296875,5.389065742492676,6.954360008239746,6.547220230102539,0,0.503000020980835,0,0,2.5390000343322754,-15.810999870300293,4.166666507720947,25.76205062866211,NA,NA,530.2225341796875,62.482601165771484,50.616336822509766,2.589322566986084,0,73.54999542236328,0,1994,1994,177,1,1,6.27329683303833,0,0,1,0,1994,0.17567777633666992,0.029999999329447746,0,-1.604962944984436,5.900000095367432,0,1,1,0,NA,62,0,0,1,0,4.166666507720947,62,0.029999999329447746,4.166666507720947,62,0.029999999329447746,0,NA,africa
0,Malaysia,1,1,548,1,42,0.8320000171661377,0,0,1,0,0,0,0,1.399999976158142,2.799999952316284,0,0.610370397567749,3.571808338165283,3.733167886734009,9.156049728393555,8.027429580688477,1,0.6869999766349792,0,0,2.822999954223633,3.2690000534057617,4.55555534362793,24.471332550048828,26.750869750976562,1.4570337533950806,6459.10986328125,176.05992126464844,60.13739776611328,3.9997055530548096,1,78.73750305175781,0,1957,1957,185.3333282470703,1,0,8.773246765136719,0,1,0,0,1957,0.036322221159935,0.2150000035762787,10,1.135422945022583,4.864999771118164,1,1,1,0,7.59734582901001,49.67499923706055,0,1,0,0,4.55555534362793,49.67499923706055,0.2150000035762787,0,0,0,0,16.816303253173828,asiae
